N,L2_div,L2_div_norm,L2_ratio,Linf_div,Linf_ratio,dt_used,L2_div_initial,L2_div_initial_norm,Linf_div_initial
30,2.883960e-03,8.651881e-02,7.444677e-01,6.858008e-03,5.854253e-01,1.000000e-02,3.873855e-03,1.162157e-01,1.171457e-02
50,1.478904e-03,7.394521e-02,7.018250e-01,4.522200e-03,6.139512e-01,1.000000e-02,2.107226e-03,1.053613e-01,7.365732e-03
75,9.566209e-04,7.174657e-02,6.852730e-01,2.957618e-03,5.874082e-01,1.000000e-02,1.395971e-03,1.046978e-01,5.035031e-03
100,6.967628e-04,6.967628e-02,6.755087e-01,2.566641e-03,6.615805e-01,1.000000e-02,1.031464e-03,1.031464e-01,3.879559e-03
125,5.530820e-04,6.913525e-02,6.756551e-01,2.261846e-03,6.265494e-01,1.000000e-02,8.185863e-04,1.023233e-01,3.610005e-03
150,4.531089e-04,6.796633e-02,6.684304e-01,1.856595e-03,6.946143e-01,1.000000e-02,6.778700e-04,1.016805e-01,2.672842e-03
175,3.842580e-04,6.724516e-02,6.630311e-01,1.474549e-03,6.139517e-01,1.000000e-02,5.795475e-04,1.014208e-01,2.401735e-03
200,3.340844e-04,6.681688e-02,6.625499e-01,1.305706e-03,6.091618e-01,1.000000e-02,5.042404e-04,1.008481e-01,2.143447e-03
225,2.963805e-04,6.668562e-02,6.578735e-01,1.459646e-03,6.722163e-01,1.000000e-02,4.505129e-04,1.013654e-01,2.171394e-03
250,2.646262e-04,6.615655e-02,6.574868e-01,1.161780e-03,5.890110e-01,1.000000e-02,4.024814e-04,1.006203e-01,1.972426e-03
275,2.399029e-04,6.597328e-02,6.529901e-01,1.088198e-03,6.416652e-01,1.000000e-02,3.673912e-04,1.010326e-01,1.695897e-03
300,2.202989e-04,6.608966e-02,6.519382e-01,8.995724e-04,6.469219e-01,1.000000e-02,3.379137e-04,1.013741e-01,1.390542e-03
350,1.882686e-04,6.589400e-02,6.498941e-01,9.457995e-04,6.856342e-01,1.000000e-02,2.896912e-04,1.013919e-01,1.379452e-03
