N,E_before,E_after,deltaE,deltaE_theory,grad_p_norm_sq,energy_monotonic,relative_error
30,8.176038e+01,6.436379e+01,1.739658e+01,8.655770e+00,8.655770e+06,True,2.127752e-01
50,2.112135e+02,1.649435e+02,4.626997e+01,2.807233e+01,2.807233e+07,True,2.190673e-01
75,4.612942e+02,3.533311e+02,1.079631e+02,5.160254e+01,5.160254e+07,True,2.340440e-01
100,8.165473e+02,6.218280e+02,1.947194e+02,9.228354e+01,9.228354e+07,True,2.384667e-01
125,1.279216e+03,9.644661e+02,3.147503e+02,1.333317e+02,1.333317e+08,True,2.460493e-01
150,1.841809e+03,1.392356e+03,4.494529e+02,1.916420e+02,1.916420e+08,True,2.440280e-01
175,2.502784e+03,1.877119e+03,6.256657e+02,2.629466e+02,2.629466e+08,True,2.499879e-01
200,3.245514e+03,2.441705e+03,8.038080e+02,3.400158e+02,3.400158e+08,True,2.476674e-01
225,4.145833e+03,3.113894e+03,1.031939e+03,4.335131e+02,4.335131e+08,True,2.489100e-01
250,5.053728e+03,3.787942e+03,1.265785e+03,5.190917e+02,5.190917e+08,True,2.504656e-01
275,6.188171e+03,4.600185e+03,1.587986e+03,6.497246e+02,6.497246e+08,True,2.566164e-01
300,7.415238e+03,5.519145e+03,1.896093e+03,7.634657e+02,7.634657e+08,True,2.557023e-01
350,1.018494e+04,7.571875e+03,2.613062e+03,1.051716e+03,1.051716e+09,True,2.565614e-01
