N,bc_type,max_un,mean_un,L2_un,max_un_after,mean_un_after,L2_un_after,num_wall_points
40,current,0.0007892587,0.0003064174,0.0003336828,0.0,0.0,0.0,34
60,current,0.001020667,0.000382312,0.0004170171,0.0,0.0,0.0,50
80,current,0.001169347,0.000427394,0.0004749261,0.0,0.0,0.0,66
100,current,0.001256035,0.0004501057,0.0005130323,0.0,0.0,0.0,82
120,current,0.001302145,0.0004590044,0.0005376836,0.0,0.0,0.0,98
150,current,0.001325527,0.0004557077,0.0005573272,0.0,0.0,0.0,122
180,current,0.0013153,0.0004383122,0.0005626183,0.0,0.0,0.0,146
200,current,0.001296195,0.0004216633,0.0005606094,0.0,0.0,0.0,162
250,current,0.001223961,0.0004126521,0.0005424718,0.0,0.0,0.0,202
300,current,0.001136244,0.0004060127,0.0005126259,0.0,0.0,0.0,242
