mode,N,cond_D_max,cond_D_mean,computation_time,num_corridors,max_curvature,avg_curvature,path_efficiency,coverage_rate,smoothness,u_mean,v_mean,u_max,v_max
axis,50,31.499999,4.616089,72.885876,47.0,4.399568,0.517351,1.006268,1.0,0.482649,0.9979541,0.1027518,1.504753,0.5664051
axis,100,31.499999,3.262943,355.02576,61.0,5.196621,0.615166,1.006079,1.0,0.384834,0.9992459,0.09333979,1.528839,0.6499796
axis,150,31.499999,2.746552,546.032339,63.0,5.523323,0.564498,1.005207,1.0,0.435502,0.9995735,0.08933239,1.596448,0.7647354
axis,200,31.499999,2.469846,924.064741,64.0,7.378781,0.585087,1.005341,1.0,0.414913,1.002192,0.08740203,1.672841,0.864868
axis,250,31.499999,2.296076,1425.109786,65.0,7.640503,0.626192,1.005797,1.0,0.373808,0.9905298,0.08493128,1.719557,0.9470685
full,50,46.499999,6.183746,68.386462,49.0,5.292356,0.798676,1.010673,1.0,0.201324,0.9966853,0.1257734,1.587424,0.6197271
full,100,46.499999,4.154218,302.090034,56.0,4.507973,0.695003,1.007568,1.0,0.304997,0.998858,0.1084967,1.554858,0.7923611
full,150,46.499999,3.379696,581.43264,67.0,7.333048,0.652666,1.006406,1.0,0.347334,0.9993552,0.1002142,1.602075,0.9564824
full,200,46.499999,2.96467,1247.949908,61.0,7.68939,0.681995,1.007382,1.0,0.318005,1.00193,0.09585072,1.66907,1.086268
full,250,46.499999,2.704035,1919.093581,61.0,7.652628,0.657852,1.007173,1.0,0.342148,0.9907206,0.09193555,1.704657,1.183221
isotropic,50,1.0,1.0,28.366348,57.0,8.651102,0.731795,1.008447,1.0,0.268205,1.000545,0.1070027,2.901932,1.390468
isotropic,100,1.0,1.0,194.21752,66.0,32.467892,4.768673,1.231111,1.0,0.0,1.159469e+40,1.219798e+40,1.907418e+43,2.441539e+43
isotropic,150,1.0,1.0,422.600013,63.0,6.930515,0.697057,1.006815,1.0,0.302943,1.000445,0.100351,1.861858,1.282905
isotropic,200,1.0,1.0,788.394293,60.0,16.686928,0.777197,1.007531,1.0,0.222803,1.002795,0.09977755,1.655635,1.141828
isotropic,250,1.0,1.0,1440.588995,67.0,16.76031,0.821843,1.008561,1.0,0.178157,0.9915557,0.09842064,1.636216,1.136762
