alpha_obs,cond_D_max,dt_initial,dt_final,dt_scaling,success
3.00,31.999999,2.000000e-03,5.000000e-05,0.025000,True
5.00,51.999999,2.000000e-03,4.807692e-05,0.024038,True
8.00,81.999997,2.000000e-03,3.048780e-05,0.015244,True
10.00,101.999995,2.000000e-03,2.450980e-05,0.012255,True
15.00,151.999988,2.000000e-03,1.644737e-05,0.008224,True
20.00,201.999980,2.000000e-03,1.237624e-05,0.006188,True
25.00,251.999968,2.000000e-03,9.920635e-06,0.004960,True
30.00,301.999954,2.000000e-03,8.278146e-06,0.004139,True
40.00,401.999919,2.000000e-03,6.218905e-06,0.003109,True
50.00,101.999995,2.000000e-03,2.450980e-05,0.012255,True
60.00,121.999993,2.000000e-03,2.049180e-05,0.010246,True
70.00,141.999990,2.000000e-03,1.760563e-05,0.008803,True
